GRID_ID.1,STARTweek_stravaDATE_cast,GRID_ID,ENDweek_stravaDATE_cast,SUM_total_trip_count,EcoCntr_weekly_SUM,MAX_slopePct,STARTweek_Time,HEXid_weekID,HEXid_WeekID,ENDweek_Time,week_id,week_start
BH-26,2021-08-16,BH-26,2021-08-22 23:59:00,5235.0,1468,,2021-08-16,BH-26_137,BH-26_137,2021-08-22 23:59:00,BH-26_137,2021-08-16
BL-36,2022-10-17,BL-36,2022-10-23 23:59:00,1670.0,0,,2022-10-17,BL-36_198,BL-36_198,2022-10-23 23:59:00,BL-36_198,2022-10-17
BH-24,2019-03-25,BH-24,2019-03-31 23:59:00,655.0,1212,,2019-03-25,BH-24_12,BH-24_12,2019-03-31 23:59:00,BH-24_12,2019-03-25
BC-12,2020-09-28,BC-12,2020-10-04 23:59:00,3100.0,0,,2020-09-28,BC-12_91,BC-12_91,2020-10-04 23:59:00,BC-12_91,2020-09-28
BI-29,2022-09-19,BI-29,2022-09-25 23:59:00,1455.0,0,,2022-09-19,BI-29_194,BI-29_194,2022-09-25 23:59:00,BI-29_194,2022-09-19
BE-15,2020-10-19,BE-15,2020-10-25 23:59:00,27980.0,3930,,2020-10-19,BE-15_94,BE-15_94,2020-10-25 23:59:00,BE-15_94,2020-10-19
BN-62,2023-12-25,BN-62,2023-12-31 23:59:00,885.0,538,,2023-12-25,BN-62_260,BN-62_260,2023-12-31 23:59:00,BN-62_260,2023-12-25
BH-24,2022-03-28,BH-24,2022-04-03 23:59:00,1585.0,2113,,2022-03-28,BH-24_169,BH-24_169,2022-04-03 23:59:00,BH-24_169,2022-03-28
BL-36,2022-04-18,BL-36,2022-04-24 23:59:00,2160.0,1128,,2022-04-18,BL-36_172,BL-36_172,2022-04-24 23:59:00,BL-36_172,2022-04-18
BD-17,2021-05-24,BD-17,2021-05-30 23:59:00,2270.0,1345,,2021-05-24,BD-17_125,BD-17_125,2021-05-30 23:59:00,BD-17_125,2021-05-24
BC-12,2023-04-24,BC-12,2023-04-30 23:59:00,11195.0,2711,,2023-04-24,BC-12_225,BC-12_225,2023-04-30 23:59:00,BC-12_225,2023-04-24
